"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 12, 25
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/karma.conf.js", "JavaScript", 0, 37, 0, 0, 0, 0, 6, 2, 45
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/ng-package.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/package.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/src/lib/lick-marketing-contact-us1.component.html", "HTML", 0, 0, 0, 0, 69, 0, 2, 5, 76
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/src/lib/lick-marketing-contact-us1.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/src/lib/lick-marketing-contact-us1.component.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 11, 42
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/src/lib/lick-marketing-contact-us1.module.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 2, 17
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/src/lib/lick-marketing-contact-us1.service.spec.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 4, 13
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/src/lib/lick-marketing-contact-us1.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 3, 10
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/src/public-api.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3, 2, 8
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/src/test.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 4, 4, 22
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/tsconfig.lib.json", "JSON", 22, 0, 0, 0, 0, 0, 4, 0, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/tsconfig.lib.prod.json", "JSON", 9, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/tsconfig.spec.json", "JSON", 16, 0, 0, 0, 0, 0, 1, 1, 18
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-contact-us1/tslint.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 12, 25
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/karma.conf.js", "JavaScript", 0, 37, 0, 0, 0, 0, 6, 2, 45
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/ng-package.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/package.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/src/lib/lick-marketing-faq1.component.html", "HTML", 0, 0, 0, 0, 62, 0, 1, 8, 71
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/src/lib/lick-marketing-faq1.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/src/lib/lick-marketing-faq1.component.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 8, 27
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/src/lib/lick-marketing-faq1.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/src/lib/lick-marketing-faq1.service.spec.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 4, 13
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/src/lib/lick-marketing-faq1.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 3, 10
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/src/public-api.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3, 2, 8
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/src/test.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 4, 4, 22
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/tsconfig.lib.json", "JSON", 22, 0, 0, 0, 0, 0, 4, 0, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/tsconfig.lib.prod.json", "JSON", 9, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/tsconfig.spec.json", "JSON", 16, 0, 0, 0, 0, 0, 1, 1, 18
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq1/tslint.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 12, 25
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/karma.conf.js", "JavaScript", 0, 37, 0, 0, 0, 0, 6, 2, 45
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/ng-package.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 7
