"filename", "language", "CSS", "YAML", "TypeScript", "JSON", "HTML", "XML", "comment", "blank", "total"
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/home/home.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/home/home.component.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 5, 18
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/home/home.module.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 4, 68
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-home/invalid-order-home.component.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-home/invalid-order-home.component.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 22
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-home/invalid-order-home.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-home/invalid-order-home.component.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 11, 78
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-list/invalid-order-list.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-list/invalid-order-list.component.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 1, 27
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-list/invalid-order-list.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-list/invalid-order-list.component.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 9, 30
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-view/invalid-order-view.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-view/invalid-order-view.component.html", "HTML", 0, 0, 0, 0, 21, 0, 1, 0, 22
